time,pm2_5,pm10
2026-08-23 00:00:00,29.6,29.9
2026-08-23 01:00:00,28.3,28.6
2026-08-23 02:00:00,27.6,27.9
2026-08-23 03:00:00,29.3,29.5
2026-08-23 04:00:00,30.9,31.2
2026-08-23 05:00:00,26.0,26.4
2026-08-23 06:00:00,28.6,28.9
2026-08-23 07:00:00,24.0,24.3
2026-08-23 08:00:00,18.4,18.6
2026-08-23 09:00:00,15.1,15.4
2026-08-23 10:00:00,14.1,14.3
2026-08-23 11:00:00,13.0,13.4
2026-08-23 12:00:00,13.2,13.5
2026-08-23 13:00:00,13.9,14.3
2026-08-23 14:00:00,15.8,16.2
2026-08-23 15:00:00,16.4,16.8
2026-08-23 16:00:00,17.5,17.8
2026-08-23 17:00:00,14.4,14.6
2026-08-23 18:00:00,20.0,20.1
2026-08-23 19:00:00,26.1,26.3
2026-08-23 20:00:00,32.0,32.7
2026-08-23 21:00:00,35.3,36.1
2026-08-23 22:00:00,33.6,34.5
2026-08-23 23:00:00,25.1,25.3
2026-08-24 00:00:00,17.3,17.5
2026-08-24 01:00:00,20.1,20.2
2026-08-24 02:00:00,21.9,22.1
2026-08-24 03:00:00,21.0,21.1
2026-08-24 04:00:00,21.8,21.9
2026-08-24 05:00:00,24.9,25.0
2026-08-24 06:00:00,29.5,29.6
2026-08-24 07:00:00,21.2,21.2
2026-08-24 08:00:00,15.0,15.1
2026-08-24 09:00:00,13.2,13.3
2026-08-24 10:00:00,13.5,13.6
2026-08-24 11:00:00,13.0,13.1
2026-08-24 12:00:00,13.4,13.5
2026-08-24 13:00:00,13.4,13.5
2026-08-24 14:00:00,12.6,12.7
2026-08-24 15:00:00,11.2,11.3
2026-08-24 16:00:00,10.7,10.8
2026-08-24 17:00:00,10.8,11.0
2026-08-24 18:00:00,17.3,17.5
2026-08-24 19:00:00,25.1,25.3
2026-08-24 20:00:00,27.0,27.6
2026-08-24 21:00:00,26.5,27.1
2026-08-24 22:00:00,30.6,31.3
2026-08-24 23:00:00,33.3,34.1
2026-08-25 00:00:00,32.2,33.2
2026-08-25 01:00:00,33.5,34.6
2026-08-25 02:00:00,34.6,35.6
2026-08-25 03:00:00,30.4,31.5
2026-08-25 04:00:00,24.5,25.3
2026-08-25 05:00:00,24.6,25.1
2026-08-25 06:00:00,27.2,27.9
2026-08-25 07:00:00,24.0,24.4
2026-08-25 08:00:00,12.9,13.4
2026-08-25 09:00:00,10.2,10.6
2026-08-25 10:00:00,9.2,9.6
2026-08-25 11:00:00,9.3,9.7
2026-08-25 12:00:00,7.6,7.9
2026-08-25 13:00:00,5.6,5.9
2026-08-25 14:00:00,4.9,5.1
2026-08-25 15:00:00,5.2,5.4
2026-08-25 16:00:00,6.4,6.6
2026-08-25 17:00:00,13.0,13.3
2026-08-25 18:00:00,21.1,21.5
2026-08-25 19:00:00,25.1,25.7
2026-08-25 20:00:00,27.0,27.9
2026-08-25 21:00:00,28.9,30.0
2026-08-25 22:00:00,31.4,32.7
2026-08-25 23:00:00,34.1,35.4
2026-08-26 00:00:00,32.8,34.2
2026-08-26 01:00:00,22.2,23.7
2026-08-26 02:00:00,21.1,22.6
2026-08-26 03:00:00,21.1,22.7
2026-08-26 04:00:00,22.5,24.1
2026-08-26 05:00:00,26.5,28.2
2026-08-26 06:00:00,28.7,30.2
2026-08-26 07:00:00,16.8,18.0
2026-08-26 08:00:00,13.3,13.9
2026-08-26 09:00:00,10.4,11.7
2026-08-26 10:00:00,9.2,10.6
2026-08-26 11:00:00,7.9,9.2
2026-08-26 12:00:00,7.5,8.4
2026-08-26 13:00:00,7.8,8.3
2026-08-26 14:00:00,7.8,8.1
2026-08-26 15:00:00,8.3,8.5
2026-08-26 16:00:00,7.1,7.4
2026-08-26 17:00:00,11.0,11.5
2026-08-26 18:00:00,16.9,17.4
2026-08-26 19:00:00,22.4,23.2
2026-08-26 20:00:00,27.1,28.2
2026-08-26 21:00:00,30.6,31.9
2026-08-26 22:00:00,33.1,34.3
2026-08-26 23:00:00,33.1,34.2
2026-08-27 00:00:00,32.2,33.5
2026-08-27 01:00:00,33.1,34.3
2026-08-27 02:00:00,34.2,35.6
2026-08-27 03:00:00,33.2,34.8
2026-08-27 04:00:00,34.2,35.9
2026-08-27 05:00:00,30.7,32.5
2026-08-27 06:00:00,29.1,31.1
2026-08-27 07:00:00,21.8,23.9
2026-08-27 08:00:00,17.6,19.4
2026-08-27 09:00:00,13.7,15.4
2026-08-27 10:00:00,12.3,13.8
2026-08-27 11:00:00,11.4,12.5
2026-08-27 12:00:00,10.8,11.6
2026-08-27 13:00:00,11.1,11.8
2026-08-27 14:00:00,10.7,11.3
2026-08-27 15:00:00,12.9,13.4
2026-08-27 16:00:00,12.6,13.1
2026-08-27 17:00:00,13.9,14.4
2026-08-27 18:00:00,20.5,21.0
2026-08-27 19:00:00,27.7,28.2
2026-08-27 20:00:00,29.9,30.7
2026-08-27 21:00:00,31.1,32.1
2026-08-27 22:00:00,31.9,33.2
2026-08-27 23:00:00,33.2,34.6
2026-08-28 00:00:00,32.9,34.5
2026-08-28 01:00:00,31.8,33.2
2026-08-28 02:00:00,26.5,27.4
2026-08-28 03:00:00,23.3,23.8
2026-08-28 04:00:00,25.8,26.3
2026-08-28 05:00:00,29.9,31.0
2026-08-28 06:00:00,33.6,34.7
2026-08-28 07:00:00,22.9,23.4
2026-08-28 08:00:00,15.1,15.5
2026-08-28 09:00:00,13.7,14.2
2026-08-28 10:00:00,13.1,13.6
2026-08-28 11:00:00,12.2,12.8
2026-08-28 12:00:00,11.9,12.5
2026-08-28 13:00:00,12.8,13.4
2026-08-28 14:00:00,14.0,14.5
2026-08-28 15:00:00,14.4,14.8
2026-08-28 16:00:00,15.9,16.2
2026-08-28 17:00:00,13.5,13.7
2026-08-28 18:00:00,12.4,12.5
2026-08-28 19:00:00,20.4,20.6
2026-08-28 20:00:00,21.0,21.2
2026-08-28 21:00:00,26.3,26.4
2026-08-28 22:00:00,30.3,30.6
2026-08-28 23:00:00,33.9,34.8
2026-08-29 00:00:00,32.4,33.1
2026-08-29 01:00:00,23.6,23.8
2026-08-29 02:00:00,21.5,21.8
2026-08-29 03:00:00,10.4,10.5
2026-08-29 04:00:00,9.5,9.5
2026-08-29 05:00:00,13.6,13.8
2026-08-29 06:00:00,15.2,15.4
2026-08-29 07:00:00,13.8,13.9
2026-08-29 08:00:00,9.7,9.7
2026-08-29 09:00:00,8.9,9.1
2026-08-29 10:00:00,9.4,9.7
2026-08-29 11:00:00,10.4,10.7
2026-08-29 12:00:00,11.8,12.0
2026-08-29 13:00:00,12.0,12.3
2026-08-29 14:00:00,12.4,12.7
2026-08-29 15:00:00,13.6,13.8
2026-08-29 16:00:00,14.2,14.4
2026-08-29 17:00:00,7.2,7.2
2026-08-29 18:00:00,15.5,15.8
2026-08-29 19:00:00,23.6,24.1
2026-08-29 20:00:00,26.3,26.9
2026-08-29 21:00:00,28.8,29.5
2026-08-29 22:00:00,27.4,28.0
2026-08-29 23:00:00,26.7,27.4
2026-08-30 00:00:00,24.3,25.1
2026-08-30 01:00:00,20.0,20.7
2026-08-30 02:00:00,19.4,20.0
2026-08-30 03:00:00,21.4,21.9
2026-08-30 04:00:00,24.0,24.7
2026-08-30 05:00:00,27.3,28.0
2026-08-30 06:00:00,31.4,32.2
2026-08-30 07:00:00,23.0,23.4
2026-08-30 08:00:00,13.6,13.7
2026-08-30 09:00:00,10.9,11.0
2026-08-30 10:00:00,10.4,10.5
2026-08-30 11:00:00,9.8,9.9
2026-08-30 12:00:00,9.6,9.6
2026-08-30 13:00:00,11.6,11.6
2026-08-30 14:00:00,12.0,12.0
2026-08-30 15:00:00,15.0,15.0
2026-08-30 16:00:00,14.8,14.8
2026-08-30 17:00:00,7.4,7.4
2026-08-30 18:00:00,14.8,14.8
2026-08-30 19:00:00,23.5,24.1
2026-08-30 20:00:00,31.5,32.1
2026-08-30 21:00:00,36.0,36.7
2026-08-30 22:00:00,37.5,38.2
2026-08-30 23:00:00,38.4,39.2
2026-08-31 00:00:00,38.3,39.2
2026-08-31 01:00:00,34.0,34.9
2026-08-31 02:00:00,34.2,35.2
2026-08-31 03:00:00,33.4,34.5
2026-08-31 04:00:00,32.9,34.0
2026-08-31 05:00:00,27.8,28.5
2026-08-31 06:00:00,35.7,36.6
2026-08-31 07:00:00,27.4,27.8
2026-08-31 08:00:00,14.3,14.3
2026-08-31 09:00:00,12.9,13.0
2026-08-31 10:00:00,12.4,12.5
2026-08-31 11:00:00,11.5,11.7
2026-08-31 12:00:00,10.5,10.7
2026-08-31 13:00:00,9.8,10.0
2026-08-31 14:00:00,11.2,11.3
2026-08-31 15:00:00,9.7,9.8
2026-08-31 16:00:00,10.0,10.1
2026-08-31 17:00:00,6.7,6.7
2026-08-31 18:00:00,11.6,11.6
2026-08-31 19:00:00,17.3,17.3
2026-08-31 20:00:00,20.1,20.6
2026-08-31 21:00:00,24.4,25.0
2026-08-31 22:00:00,30.2,30.7
